1; 495,145144879759
 0
2; -20,134251231275
 3,10172886555074
3; 10,4182192649227
 -1,99429079802656
4; -20,9666606983589
 -5,10021918203348
5; -22,8012264825001
 -2,86384256983686
6; 8,77485926919297
 1,74798502536576
7; 11,7072338388927
 5,90488599481102
8; 13,0381695584958
 13,4478305435751
9; -5,03637031504446
 -6,16605526965208
10; 11,3256116926678
 16,0544291379453
11; -0,935093939739479
 16,7906073858672
12; 2,66443862925123
 13,7607875857725
13; 8,14378078178404
 -6,60053972523979
14; 4,1872805318377
 32,4215660811047
15; 17,7594798173305
 21,6548371269168
16; -8,45964482972317
 2,36745106572127
17; 4,2290189308946
 -32,8829028344472
18; 6,09767788679091
 48,5697027607982
19; 2,78600717053756
 -27,2055248331554
20; -23,6917254604115
 -23,4613976188445
21; -28,2070882609114
 -6,26784229173057
22; -4,90529629786959
 -22,5704279189079
23; 11,0553917536765
 9,13048081937739
24; 19,9543808258197
 6,66376301840439
25; -4,7106219554652
 -5,17865868370139
26; 8,80458277087969
 -2,00225636481812
27; -3,13011624154749
 -5,38710342042202
28; -1,28400660493881
 -2,68411719623617
29; 5,52368676640735
 -6,51800639122549
30; 5,82978903413005
 4,54060343171548
31; 10,276168068657
 0,59456627509994
32; -0,432238695923694
 -6,48875395994752
33; 11,5159064707647
 3,99402614438547
34; 15,3609450691577
 16,006581553632
35; 11,9985254482532
 -14,2008760270791
36; -7,81752704710192
 6,63667769339216
37; -17,2129543940195
 -21,6690569601683
38; 15,9880890696735
 -12,4461360281427
39; -17,6715077628281
 9,40934082372026
40; -10,5431401879736
 -17,8340627755903
41; -36,8042727117508
 -36,9441490825423
42; 24,4691852495895
 30,7330998729759
43; -0,937454150436372
 -8,74850831521179
44; 13,3377842212124
 20,5136212042146
45; 23,5899742851356
 13,4458724099064
46; -45,565138475778
 -22,1345926236993
47; -26,4164018212002
 -4,7684156434297
48; -19,8381544589437
 19,0726214071897
49; 13,5498307007495
 -28,7351214458095
50; 31,6172585322261
 -52,9336977315076
51; -1,18735521417797
 -8,32446669718107
52; 22,3157300287095
 -14,6057727294277
53; -50,7005356575531
 -21,4050164469232
54; 2,97339471480777
 -50,0184155672534
55; -2,37756300206728
 7,0090208315877
56; 3,33297633654204
 11,9233971890649
57; 12,2813404117386
 19,0008835105304
58; 9,71269472195471
 -15,0976815218975
59; -13,9933080587994
 14,1624441411342
60; 22,0969523730074
 -14,4033112268835
61; 8,26377469992627
 -7,51902454118174
62; -19,1076988593726
 14,2128220021287
63; 36,1283114038111
 -31,5356244923951
64; 4,92840905527082
 -10,7617412165834
65; -4,89862117586983
 12,3062367676169
66; 10,7222460864187
 -0,221007258531277
67; 29,447031868958
 28,0609489197483
